YEAR,STATE,daily_total,daily_matched,ann_total,ann_matched,daily_match_pct,ann_match_pct
2013,PR,0,0,20,0,,0.0
2013,VI,0,0,3,0,,0.0
2013,,0,0,6,0,,0.0
2014,AL,719,461,559,423,64.12,75.67
2014,AR,639,492,694,480,77.0,69.16
2014,AZ,169,143,138,108,84.62,78.26
2014,CA,100,60,60,46,60.0,76.67
2014,CO,564,515,607,515,91.31,84.84
2014,CT,77,70,72,64,90.91,88.89
2014,DC,11,0,0,0,0.0,
2014,DE,16,13,29,15,81.25,51.72
2014,FL,680,514,694,536,75.59,77.23
2014,GA,792,655,783,636,82.7,81.23
2014,IA,1050,891,1345,919,84.86,68.33
2014,ID,109,44,68,42,40.37,61.76
2014,IL,822,590,728,508,71.78,69.78
2014,IN,560,434,591,414,77.5,70.05
2014,KS,1631,1440,1793,1431,88.29,79.81
2014,KY,866,693,799,667,80.02,83.48
2014,LA,340,282,338,266,82.94,78.7
2014,MA,313,182,217,161,58.15,74.19
2014,MD,364,308,316,292,84.62,92.41
2014,ME,114,104,105,98,91.23,93.33
2014,MI,643,440,565,443,68.43,78.41
2014,MN,521,392,605,384,75.24,63.47
2014,MO,976,752,1023,721,77.05,70.48
2014,MS,760,527,658,477,69.34,72.49
2014,MT,337,302,373,301,89.61,80.7
2014,NC,1007,752,826,682,74.68,82.57
2014,ND,336,283,339,263,84.23,77.58
2014,NE,1420,1197,1423,1121,84.3,78.78
2014,NH,128,117,125,115,91.41,92.0
2014,NJ,122,105,162,109,86.07,67.28
2014,NM,235,211,305,210,89.79,68.85
2014,NV,86,69,77,63,80.23,81.82
2014,NY,749,689,763,663,91.99,86.89
2014,OH,576,460,646,453,79.86,70.12
2014,OK,572,511,616,504,89.34,81.82
2014,OR,42,36,36,32,85.71,88.89
2014,PA,691,641,732,630,92.76,86.07
2014,RI,4,4,4,3,100.0,75.0
2014,SC,540,466,520,453,86.3,87.12
2014,SD,581,501,606,470,86.23,77.56
2014,TN,759,545,666,511,71.81,76.73
2014,TX,1680,1400,1845,1409,83.33,76.37
2014,UT,85,67,81,65,78.82,80.25
2014,VA,788,655,642,591,83.12,92.06
2014,VT,65,59,58,47,90.77,81.03
2014,WA,107,19,48,15,17.76,31.25
2014,WI,444,321,551,332,72.3,60.25
2014,WV,338,279,322,267,82.54,82.92
2014,WY,220,188,275,168,85.45,61.09
2014,XX,2,0,0,0,0.0,
2014,PR,0,0,18,0,,0.0
2014,,0,0,13,0,,0.0
2015,AL,799,557,583,509,69.71,87.31
2015,AR,510,430,482,416,84.31,86.31
2015,AZ,274,220,227,178,80.29,78.41
2015,CA,87,62,79,54,71.26,68.35
2015,CO,453,395,531,409,87.2,77.02
2015,CT,52,39,45,33,75.0,73.33
2015,DC,11,0,0,0,0.0,
2015,DE,31,23,29,22,74.19,75.86
2015,FL,832,728,837,712,87.5,85.07
2015,GA,1202,1010,1078,949,84.03,88.03
2015,I,1,0,0,0,0.0,
2015,IA,590,469,764,506,79.49,66.23
2015,ID,102,64,82,55,62.75,67.07
2015,IL,819,636,759,571,77.66,75.23
2015,IN,571,474,594,455,83.01,76.6
2015,KS,1455,1219,1586,1206,83.78,76.04
2015,KY,1036,902,1039,895,87.07,86.14
2015,LA,486,349,422,329,71.81,77.96
2015,MA,253,225,244,208,88.93,85.25
2015,MD,292,237,279,232,81.16,83.15
2015,ME,233,218,204,195,93.56,95.59
2015,MI,401,298,397,312,74.31,78.59
2015,MN,578,446,651,412,77.16,63.29
2015,MO,1104,804,1067,769,72.83,72.07
2015,MS,607,397,513,359,65.4,69.98
2015,MT,286,242,326,240,84.62,73.62
2015,NC,803,635,634,563,79.08,88.8
2015,ND,414,384,425,361,92.75,84.94
2015,NE,992,875,1046,808,88.21,77.25
2015,NH,115,106,103,97,92.17,94.17
2015,NJ,104,81,95,68,77.88,71.58
2015,NM,246,228,338,236,92.68,69.82
2015,NV,76,56,71,47,73.68,66.2
2015,NY,520,407,500,394,78.27,78.8
2015,OH,737,641,708,589,86.97,83.19
2015,OK,1000,880,993,857,88.0,86.3
2015,OR,41,18,30,19,43.9,63.33
2015,PA,745,654,720,650,87.79,90.28
2015,RI,40,20,31,16,50.0,51.61
2015,SC,877,753,800,702,85.86,87.75
2015,SD,835,679,964,711,81.32,73.76
2015,TN,602,442,548,408,73.42,74.45
2015,TX,2436,1811,2442,1753,74.34,71.79
2015,UT,118,80,87,72,67.8,82.76
2015,VA,777,668,654,602,85.97,92.05
2015,VT,41,34,47,35,82.93,74.47
2015,WA,33,29,37,27,87.88,72.97
2015,WI,443,283,460,280,63.88,60.87
2015,WV,287,240,258,225,83.62,87.21
2015,WY,232,175,275,166,75.43,60.36
2015,XX,9,0,0,0,0.0,
2015,AK,0,0,1,0,,0.0
2015,HI,0,0,1,0,,0.0
2015,PR,0,0,22,0,,0.0
2015,,0,0,10,0,,0.0
2016,AL,888,552,558,474,62.16,84.95
2016,AR,409,329,434,329,80.44,75.81
2016,AZ,113,77,104,72,68.14,69.23
2016,CA,114,41,68,38,35.96,55.88
2016,CO,597,556,670,562,93.13,83.88
2016,CT,98,61,88,58,62.24,65.91
2016,DC,27,0,0,0,0.0,
2016,DE,44,37,46,41,84.09,89.13
2016,FL,635,442,589,420,69.61,71.31
2016,GA,873,639,752,591,73.2,78.59
2016,IA,590,402,668,406,68.14,60.78
2016,ID,106,73,86,64,68.87,74.42
2016,IL,853,604,684,529,70.81,77.34
2016,IN,594,455,562,445,76.6,79.18
2016,KS,1655,1425,1793,1416,86.1,78.97
2016,KY,1039,838,889,788,80.65,88.64
2016,LA,411,309,398,293,75.18,73.62
2016,MA,351,234,350,226,66.67,64.57
2016,MD,359,325,321,309,90.53,96.26
2016,ME,234,197,205,186,84.19,90.73
2016,MI,334,250,300,230,74.85,76.67
2016,MN,829,560,930,549,67.55,59.03
2016,MO,986,680,879,634,68.97,72.13
2016,MS,869,665,739,599,76.52,81.06
2016,MT,581,445,518,430,76.59,83.01
2016,NC,1218,890,934,784,73.07,83.94
2016,ND,731,606,733,568,82.9,77.49
2016,NE,965,846,1022,807,87.67,78.96
2016,NH,114,112,117,113,98.25,96.58
2016,NJ,253,237,248,228,93.68,91.94
2016,NM,126,115,171,120,91.27,70.18
2016,NV,53,35,41,29,66.04,70.73
2016,NY,521,466,534,454,89.44,85.02
2016,OH,551,399,541,368,72.41,68.02
